,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Country,Sex,Age,Education,Survey,Type of Source,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,Total (Sex),15-24 (Age),Advanced (Aggregate levels),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,103,
Afghanistan,Total (Sex),15-24 (Age),Basic (Aggregate levels),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,552,
Afghanistan,Total (Sex),15-24 (Age),Intermediate (Aggregate levels),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,316,
Afghanistan,Total (Sex),15-24 (Age),Less than basic (Aggregate levels),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,863,
Afghanistan,Total (Sex),15-24 (Age),Total (Aggregate levels),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,1838,
Afghanistan,Total (Sex),15-24 (Age),Level not stated (Aggregate levels),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,3,
Afghanistan,Total (Sex),15-64 (Age),Advanced (Aggregate levels),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,475,
Afghanistan,Total (Sex),15-64 (Age),Basic (Aggregate levels),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,1304,
Afghanistan,Total (Sex),15-64 (Age),Intermediate (Aggregate levels),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,737,
Afghanistan,Total (Sex),15-64 (Age),Less than basic (Aggregate levels),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,3724,
Afghanistan,Total (Sex),15-64 (Age),Total (Aggregate levels),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,6250,
Afghanistan,Total (Sex),15-64 (Age),Level not stated (Aggregate levels),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,10,
Afghanistan,Total (Sex),15+ (Age),Advanced (Aggregate levels),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,481,
Afghanistan,Total (Sex),15+ (Age),Basic (Aggregate levels),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,1323,
Afghanistan,Total (Sex),15+ (Age),Intermediate (Aggregate levels),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,749,
Afghanistan,Total (Sex),15+ (Age),Less than basic (Aggregate levels),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,3833,
Afghanistan,Total (Sex),15+ (Age),Total (Aggregate levels),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,6397,
Afghanistan,Total (Sex),15+ (Age),Level not stated (Aggregate levels),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,11,
Afghanistan,Total (Sex),25+ (Age),Advanced (Aggregate levels),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,378,
Afghanistan,Total (Sex),25+ (Age),Basic (Aggregate levels),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,771,
Afghanistan,Total (Sex),25+ (Age),Intermediate (Aggregate levels),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,433,
Afghanistan,Total (Sex),25+ (Age),Less than basic (Aggregate levels),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,2970,
Afghanistan,Total (Sex),25+ (Age),Total (Aggregate levels),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,4559,
Afghanistan,Total (Sex),25+ (Age),Level not stated (Aggregate levels),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,7,
Afghanistan,Male (Sex),15-24 (Age),Advanced (Aggregate levels),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,76,
Afghanistan,Male (Sex),15-24 (Age),Basic (Aggregate levels),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,469,
Afghanistan,Male (Sex),15-24 (Age),Intermediate (Aggregate levels),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,279,
Afghanistan,Male (Sex),15-24 (Age),Less than basic (Aggregate levels),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,570,
Afghanistan,Male (Sex),15-24 (Age),Total (Aggregate levels),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,1396,
Afghanistan,Male (Sex),15-24 (Age),Level not stated (Aggregate levels),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,2,
Afghanistan,Male (Sex),15-64 (Age),Advanced (Aggregate levels),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,400,
Afghanistan,Male (Sex),15-64 (Age),Basic (Aggregate levels),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,1180,
Afghanistan,Male (Sex),15-64 (Age),Intermediate (Aggregate levels),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,685,
Afghanistan,Male (Sex),15-64 (Age),Less than basic (Aggregate levels),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,2608,
Afghanistan,Male (Sex),15-64 (Age),Total (Aggregate levels),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,4881,
Afghanistan,Male (Sex),15-64 (Age),Level not stated (Aggregate levels),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,8,
Afghanistan,Male (Sex),15+ (Age),Advanced (Aggregate levels),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,405,
Afghanistan,Male (Sex),15+ (Age),Basic (Aggregate levels),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,1199,
Afghanistan,Male (Sex),15+ (Age),Intermediate (Aggregate levels),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,697,
Afghanistan,Male (Sex),15+ (Age),Less than basic (Aggregate levels),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,2709,
Afghanistan,Male (Sex),15+ (Age),Total (Aggregate levels),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,5018,
Afghanistan,Male (Sex),15+ (Age),Level not stated (Aggregate levels),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,9,
Afghanistan,Male (Sex),25+ (Age),Advanced (Aggregate levels),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,329,
Afghanistan,Male (Sex),25+ (Age),Basic (Aggregate levels),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,730,
Afghanistan,Male (Sex),25+ (Age),Intermediate (Aggregate levels),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,418,
Afghanistan,Male (Sex),25+ (Age),Less than basic (Aggregate levels),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,2139,
Afghanistan,Male (Sex),25+ (Age),Total (Aggregate levels),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,3622,
Afghanistan,Male (Sex),25+ (Age),Level not stated (Aggregate levels),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,6,
Afghanistan,Female (Sex),15-24 (Age),Advanced (Aggregate levels),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,27,
Afghanistan,Female (Sex),15-24 (Age),Basic (Aggregate levels),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,83,
Afghanistan,Female (Sex),15-24 (Age),Intermediate (Aggregate levels),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,37,
Afghanistan,Female (Sex),15-24 (Age),Less than basic (Aggregate levels),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,293,
Afghanistan,Female (Sex),15-24 (Age),Total (Aggregate levels),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,442,
Afghanistan,Female (Sex),15-24 (Age),Level not stated (Aggregate levels),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,1,
Afghanistan,Female (Sex),15-64 (Age),Advanced (Aggregate levels),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,75,
Afghanistan,Female (Sex),15-64 (Age),Basic (Aggregate levels),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,124,
Afghanistan,Female (Sex),15-64 (Age),Intermediate (Aggregate levels),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,52,
Afghanistan,Female (Sex),15-64 (Age),Less than basic (Aggregate levels),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,1116,
Afghanistan,Female (Sex),15-64 (Age),Total (Aggregate levels),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,1369,
Afghanistan,Female (Sex),15-64 (Age),Level not stated (Aggregate levels),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,2,
Afghanistan,Female (Sex),15+ (Age),Advanced (Aggregate levels),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,75,
Afghanistan,Female (Sex),15+ (Age),Basic (Aggregate levels),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,124,
Afghanistan,Female (Sex),15+ (Age),Intermediate (Aggregate levels),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,52,
Afghanistan,Female (Sex),15+ (Age),Less than basic (Aggregate levels),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,1125,
Afghanistan,Female (Sex),15+ (Age),Total (Aggregate levels),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,1378,
Afghanistan,Female (Sex),15+ (Age),Level not stated (Aggregate levels),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,2,
Afghanistan,Female (Sex),25+ (Age),Advanced (Aggregate levels),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,49,
Afghanistan,Female (Sex),25+ (Age),Basic (Aggregate levels),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,41,
Afghanistan,Female (Sex),25+ (Age),Intermediate (Aggregate levels),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,15,
Afghanistan,Female (Sex),25+ (Age),Less than basic (Aggregate levels),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,831,
Afghanistan,Female (Sex),25+ (Age),Total (Aggregate levels),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,937,
Afghanistan,Female (Sex),25+ (Age),Level not stated (Aggregate levels),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,,
Albania,Total (Sex),15-24 (Age),Advanced (Aggregate levels),Labour Force Survey,Labour force survey,,9,9,15,14,16,11,11,14,15,,17,
Albania,Total (Sex),15-24 (Age),Basic (Aggregate levels),Labour Force Survey,Labour force survey,,86,83,90,81,95,70,51,40,33,,30,
Albania,Total (Sex),15-24 (Age),Intermediate (Aggregate levels),Labour Force Survey,Labour force survey,,41,32,49,46,65,43,35,32,41,,46,
Albania,Total (Sex),15-24 (Age),Less than basic (Aggregate levels),Labour Force Survey,Labour force survey,,0,1,1,,3,1,2,2,3,,2,
Albania,Total (Sex),15-24 (Age),Total (Aggregate levels),Labour Force Survey,Labour force survey,,136,124,156,141,179,125,99,88,92,,96,
Albania,Total (Sex),15-64 (Age),Advanced (Aggregate levels),Labour Force Survey,Labour force survey,,108,139,145,146,137,144,171,178,196,,224,
Albania,Total (Sex),15-64 (Age),Basic (Aggregate levels),Labour Force Survey,Labour force survey,,488,587,599,590,561,542,471,440,452,,486,
Albania,Total (Sex),15-64 (Age),Intermediate (Aggregate levels),Labour Force Survey,Labour force survey,,369,372,396,408,419,397,340,364,384,,418,
Albania,Total (Sex),15-64 (Age),Less than basic (Aggregate levels),Labour Force Survey,Labour force survey,,5,5,7,9,10,7,8,24,23,,22,
Albania,Total (Sex),15-64 (Age),Total (Aggregate levels),Labour Force Survey,Labour force survey,,969,1103,1148,1153,1126,1091,990,1006,1056,,1150,
Albania,Total (Sex),15+ (Age),Advanced (Aggregate levels),Labour Force Survey,Labour force survey,,108,140,145,146,138,146,173,180,198,,227,
Albania,Total (Sex),15+ (Age),Basic (Aggregate levels),Labour Force Survey,Labour force survey,,495,603,609,600,584,575,497,453,465,,509,
Albania,Total (Sex),15+ (Age),Intermediate (Aggregate levels),Labour Force Survey,Labour force survey,,369,375,399,411,424,403,344,367,388,,425,
Albania,Total (Sex),15+ (Age),Less than basic (Aggregate levels),Labour Force Survey,Labour force survey,,6,6,8,10,13,10,10,37,36,,34,
Albania,Total (Sex),15+ (Age),Total (Aggregate levels),Labour Force Survey,Labour force survey,,978,1123,1161,1167,1159,1134,1024,1037,1087,,1195,
Albania,Total (Sex),15+ (Age),Level not stated (Aggregate levels),Labour Force Survey,Labour force survey,,,,,,,,,,,,,
Albania,Total (Sex),25+ (Age),Advanced (Aggregate levels),Labour Force Survey,Labour force survey,,99,131,130,133,123,135,161,166,183,,210,
Albania,Total (Sex),25+ (Age),Basic (Aggregate levels),Labour Force Survey,Labour force survey,,409,520,518,519,490,505,446,413,431,,478,
Albania,Total (Sex),25+ (Age),Intermediate (Aggregate levels),Labour Force Survey,Labour force survey,,329,342,349,364,359,360,310,335,347,,379,
Albania,Total (Sex),25+ (Age),Less than basic (Aggregate levels),Labour Force Survey,Labour force survey,,6,5,6,9,9,9,8,35,33,,32,
Albania,Total (Sex),25+ (Age),Total (Aggregate levels),Labour Force Survey,Labour force survey,,842,999,1004,1026,981,1008,925,950,995,,1099,
Albania,Total (Sex),25+ (Age),Level not stated (Aggregate levels),Labour Force Survey,Labour force survey,,,,,,,,,,,,,
Albania,Male (Sex),15-24 (Age),Advanced (Aggregate levels),Labour Force Survey,Labour force survey,,2,3,4,4,6,4,6,5,6,,7,
Albania,Male (Sex),15-24 (Age),Basic (Aggregate levels),Labour Force Survey,Labour force survey,,52,43,47,49,51,45,30,24,21,,22,
Albania,Male (Sex),15-24 (Age),Intermediate (Aggregate levels),Labour Force Survey,Labour force survey,,28,23,34,33,46,29,23,23,31,,31,
Albania,Male (Sex),15-24 (Age),Less than basic (Aggregate levels),Labour Force Survey,Labour force survey,,0,,,,2,1,2,2,2,,1,
Albania,Male (Sex),15-24 (Age),Total (Aggregate levels),Labour Force Survey,Labour force survey,,83,70,86,86,105,79,61,54,61,,60,
Albania,Male (Sex),15-64 (Age),Advanced (Aggregate levels),Labour Force Survey,Labour force survey,,57,71,71,69,70,73,80,84,95,,106,
Albania,Male (Sex),15-64 (Age),Basic (Aggregate levels),Labour Force Survey,Labour force survey,,289,305,321,324,286,277,238,231,237,,255,
Albania,Male (Sex),15-64 (Age),Intermediate (Aggregate levels),Labour Force Survey,Labour force survey,,249,230,257,261,266,251,217,238,255,,275,
Albania,Male (Sex),15-64 (Age),Less than basic (Aggregate levels),Labour Force Survey,Labour force survey,,4,3,5,5,6,5,5,12,13,,15,
Albania,Male (Sex),15-64 (Age),Total (Aggregate levels),Labour Force Survey,Labour force survey,,599,609,654,659,627,606,540,565,600,,650,
Albania,Male (Sex),15+ (Age),Advanced (Aggregate levels),Labour Force Survey,Labour force survey,,58,71,71,70,72,75,82,86,97,,108,
Albania,Male (Sex),15+ (Age),Basic (Aggregate levels),Labour Force Survey,Labour force survey,,294,316,327,330,300,296,255,240,246,,269,
Albania,Male (Sex),15+ (Age),Intermediate (Aggregate levels),Labour Force Survey,Labour force survey,,249,232,260,263,270,257,221,240,258,,281,
Albania,Male (Sex),15+ (Age),Less than basic (Aggregate levels),Labour Force Survey,Labour force survey,,4,4,5,6,7,6,6,20,20,,21,
Albania,Male (Sex),15+ (Age),Total (Aggregate levels),Labour Force Survey,Labour force survey,,606,623,663,670,648,633,563,586,621,,679,
Albania,Male (Sex),15+ (Age),Level not stated (Aggregate levels),Labour Force Survey,Labour force survey,,,,,,,,,,,,,
Albania,Male (Sex),25+ (Age),Advanced (Aggregate levels),Labour Force Survey,Labour force survey,,56,68,67,66,66,70,77,81,91,,101,
Albania,Male (Sex),25+ (Age),Basic (Aggregate levels),Labour Force Survey,Labour force survey,,242,273,280,281,249,252,225,216,225,,247,
Albania,Male (Sex),25+ (Age),Intermediate (Aggregate levels),Labour Force Survey,Labour force survey,,221,209,226,231,224,227,197,217,227,,250,
Albania,Male (Sex),25+ (Age),Less than basic (Aggregate levels),Labour Force Survey,Labour force survey,,4,3,5,5,5,5,4,18,18,,20,
Albania,Male (Sex),25+ (Age),Total (Aggregate levels),Labour Force Survey,Labour force survey,,523,553,577,584,543,554,502,532,560,,619,
Albania,Male (Sex),25+ (Age),Level not stated (Aggregate levels),Labour Force Survey,Labour force survey,,,,,,,,,,,,,
Albania,Female (Sex),15-24 (Age),Advanced (Aggregate levels),Labour Force Survey,Labour force survey,,7,6,11,10,10,6,6,9,9,,10,
Albania,Female (Sex),15-24 (Age),Basic (Aggregate levels),Labour Force Survey,Labour force survey,,34,40,43,32,44,25,21,16,12,,9,
Albania,Female (Sex),15-24 (Age),Intermediate (Aggregate levels),Labour Force Survey,Labour force survey,,12,10,15,14,19,14,11,9,10,,15,
