,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Country,Sex,Occupation,Survey,Type of Source,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,Total (Sex),Skill level 1 (low) (Skill level),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,1003,
Afghanistan,Total (Sex),Skill level 2 (medium) (Skill level),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,4598,
Afghanistan,Total (Sex),Skill levels 3 and 4 (high) (Skill level),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,389,
Afghanistan,Total (Sex),Total (Skill level),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,6397,
Afghanistan,Total (Sex),Not elsewhere classified (Skill level),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,406,
Afghanistan,Male (Sex),Skill level 1 (low) (Skill level),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,945,
Afghanistan,Male (Sex),Skill level 2 (medium) (Skill level),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,3375,
Afghanistan,Male (Sex),Skill levels 3 and 4 (high) (Skill level),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,321,
Afghanistan,Male (Sex),Total (Skill level),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,5018,
Afghanistan,Male (Sex),Not elsewhere classified (Skill level),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,377,
Afghanistan,Female (Sex),Skill level 1 (low) (Skill level),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,58,
Afghanistan,Female (Sex),Skill level 2 (medium) (Skill level),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,1223,
Afghanistan,Female (Sex),Skill levels 3 and 4 (high) (Skill level),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,68,
Afghanistan,Female (Sex),Total (Skill level),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,1378,
Afghanistan,Female (Sex),Not elsewhere classified (Skill level),Living Condition Survey,Household income/expenditure survey,,,,,,,,,,,,29,
Albania,Total (Sex),Skill level 1 (low) (Skill level),Labour Force Survey,Labour force survey,,109,109,143,41,,38,32,59,56,,78,
Albania,Total (Sex),Skill level 2 (medium) (Skill level),Labour Force Survey,Labour force survey,,687,798,824,939,,936,818,791,834,,902,
Albania,Total (Sex),Skill levels 3 and 4 (high) (Skill level),Labour Force Survey,Labour force survey,,177,210,187,180,,155,169,183,189,,209,
Albania,Total (Sex),Total (Skill level),Labour Force Survey,Labour force survey,,978,1123,1161,1167,,1134,1024,1037,1087,,1195,
Albania,Total (Sex),Not elsewhere classified (Skill level),Labour Force Survey,Labour force survey,,4,7,7,7,,4,5,5,7,,6,
Albania,Male (Sex),Skill level 1 (low) (Skill level),Labour Force Survey,Labour force survey,,76,74,102,21,,19,18,31,30,,41,
Albania,Male (Sex),Skill level 2 (medium) (Skill level),Labour Force Survey,Labour force survey,,431,434,457,556,,535,461,459,497,,532,
Albania,Male (Sex),Skill levels 3 and 4 (high) (Skill level),Labour Force Survey,Labour force survey,,95,108,98,86,,76,80,91,88,,101,
Albania,Male (Sex),Total (Skill level),Labour Force Survey,Labour force survey,,606,623,663,670,,633,563,586,621,,679,
Albania,Male (Sex),Not elsewhere classified (Skill level),Labour Force Survey,Labour force survey,,4,6,6,6,,4,4,4,6,,5,
Albania,Female (Sex),Skill level 1 (low) (Skill level),Labour Force Survey,Labour force survey,,34,35,41,20,,19,14,28,27,,37,
Albania,Female (Sex),Skill level 2 (medium) (Skill level),Labour Force Survey,Labour force survey,,256,363,367,383,,402,357,331,338,,371,
Albania,Female (Sex),Skill levels 3 and 4 (high) (Skill level),Labour Force Survey,Labour force survey,,82,102,89,94,,79,89,92,100,,107,
Albania,Female (Sex),Total (Skill level),Labour Force Survey,Labour force survey,,372,500,497,497,,500,461,451,466,,516,
Albania,Female (Sex),Not elsewhere classified (Skill level),Labour Force Survey,Labour force survey,,0,,1,1,,,1,1,1,,1,
Algeria,Total (Sex),Skill level 1 (low) (Skill level),Household Employment Survey,Labour force survey,,,,,,,,1398,1519,,,2303,
Algeria,Total (Sex),Skill level 2 (medium) (Skill level),Household Employment Survey,Labour force survey,,,,,,,,7168,6863,,,5967,
Algeria,Total (Sex),Skill levels 3 and 4 (high) (Skill level),Household Employment Survey,Labour force survey,,,,,,,,1895,1742,,,1939,
Algeria,Total (Sex),Total (Skill level),Household Employment Survey,Labour force survey,,,,,,,,10788,10239,,,10858,
Algeria,Total (Sex),Not elsewhere classified (Skill level),Household Employment Survey,Labour force survey,,,,,,,,329,115,,,649,
Algeria,Male (Sex),Skill level 1 (low) (Skill level),Household Employment Survey,Labour force survey,,,,,,,,1220,1375,,,2111,
Algeria,Male (Sex),Skill level 2 (medium) (Skill level),Household Employment Survey,Labour force survey,,,,,,,,6208,5963,,,4993,
Algeria,Male (Sex),Skill levels 3 and 4 (high) (Skill level),Household Employment Survey,Labour force survey,,,,,,,,1139,1065,,,1148,
Algeria,Male (Sex),Total (Skill level),Household Employment Survey,Labour force survey,,,,,,,,8885,8517,,,8893,
Algeria,Male (Sex),Not elsewhere classified (Skill level),Household Employment Survey,Labour force survey,,,,,,,,317,114,,,641,
Algeria,Female (Sex),Skill level 1 (low) (Skill level),Household Employment Survey,Labour force survey,,,,,,,,177,144,,,193,
Algeria,Female (Sex),Skill level 2 (medium) (Skill level),Household Employment Survey,Labour force survey,,,,,,,,960,901,,,974,
Algeria,Female (Sex),Skill levels 3 and 4 (high) (Skill level),Household Employment Survey,Labour force survey,,,,,,,,755,676,,,791,
Algeria,Female (Sex),Total (Skill level),Household Employment Survey,Labour force survey,,,,,,,,1904,1722,,,1965,
Algeria,Female (Sex),Not elsewhere classified (Skill level),Household Employment Survey,Labour force survey,,,,,,,,11,1,,,8,
Angola,Total (Sex),Skill level 2 (medium) (Skill level),Angola Employment Survey,Labour force survey,,,,,4942,5330,,,,,,,
Angola,Total (Sex),Skill levels 3 and 4 (high) (Skill level),Angola Employment Survey,Labour force survey,,,,,732,776,,,,,,,
Angola,Total (Sex),Total (Skill level),Angola Employment Survey,Labour force survey,,,,,6342,6769,,,,,,,
Angola,Total (Sex),Not elsewhere classified (Skill level),Angola Employment Survey,Labour force survey,,,,,668,662,,,,,,,
Angola,Male (Sex),Skill level 2 (medium) (Skill level),Angola Employment Survey,Labour force survey,,,,,2088,2246,,,,,,,
Angola,Male (Sex),Skill levels 3 and 4 (high) (Skill level),Angola Employment Survey,Labour force survey,,,,,508,531,,,,,,,
