"Downloaded on TUE, 21 MAY 2019 13:18 +0200 from ILOSTAT",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Dataset:,Annual data,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Country,Sex,Status in employment,Survey,Type of Source,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,Total (Sex),1. Employees (ICSE-93),Living Condition Survey,Household income/expenditure survey,,,665,,,,1179,,,,,1096,
Afghanistan,Total (Sex),2. Employers (ICSE-93),Living Condition Survey,Household income/expenditure survey,,,36,,,,61,,,,,166,
Afghanistan,Total (Sex),3. Own-account workers (ICSE-93),Living Condition Survey,Household income/expenditure survey,,,4323,,,,4270,,,,,3548,
Afghanistan,Total (Sex),5. Contributing family workers (ICSE-93),Living Condition Survey,Household income/expenditure survey,,,2447,,,,833,,,,,1504,
Afghanistan,Total (Sex),6. Workers not classifiable by status (ICSE-93),Living Condition Survey,Household income/expenditure survey,,,15,,,,76,,,,,84,
Afghanistan,Total (Sex),Total (ICSE-93),Living Condition Survey,Household income/expenditure survey,,,7487,,,,6420,,,,,6397,
Afghanistan,Male (Sex),1. Employees (ICSE-93),Living Condition Survey,Household income/expenditure survey,,,577,,,,1049,,,,,989,
Afghanistan,Male (Sex),2. Employers (ICSE-93),Living Condition Survey,Household income/expenditure survey,,,33,,,,58,,,,,135,
Afghanistan,Male (Sex),3. Own-account workers (ICSE-93),Living Condition Survey,Household income/expenditure survey,,,3772,,,,3768,,,,,3238,
Afghanistan,Male (Sex),5. Contributing family workers (ICSE-93),Living Condition Survey,Household income/expenditure survey,,,545,,,,423,,,,,582,
Afghanistan,Male (Sex),6. Workers not classifiable by status (ICSE-93),Living Condition Survey,Household income/expenditure survey,,,8,,,,61,,,,,75,
Afghanistan,Male (Sex),Total (ICSE-93),Living Condition Survey,Household income/expenditure survey,,,4935,,,,5358,,,,,5018,
Afghanistan,Female (Sex),1. Employees (ICSE-93),Living Condition Survey,Household income/expenditure survey,,,89,,,,130,,,,,107,
Afghanistan,Female (Sex),2. Employers (ICSE-93),Living Condition Survey,Household income/expenditure survey,,,3,,,,4,,,,,31,
Afghanistan,Female (Sex),3. Own-account workers (ICSE-93),Living Condition Survey,Household income/expenditure survey,,,551,,,,503,,,,,310,
Afghanistan,Female (Sex),5. Contributing family workers (ICSE-93),Living Condition Survey,Household income/expenditure survey,,,1902,,,,410,,,,,921,
