,,,,,,,,,,,,,,,,,
Country,Sex,Age,Survey,Type of Source,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,Total (Sex),15-24 (Age),Living Condition Survey,Household income/expenditure survey,,,2079,,,,1922,,,,,1838,
Afghanistan,Total (Sex),15-64 (Age),Living Condition Survey,Household income/expenditure survey,,,7243,,,,6267,,,,,6250,
Afghanistan,Total (Sex),15+ (Age),Living Condition Survey,Household income/expenditure survey,,,7487,,,,6420,,,,,6397,
Afghanistan,Total (Sex),25+ (Age),Living Condition Survey,Household income/expenditure survey,,,5408,,,,4498,,,,,4559,
Afghanistan,Male (Sex),15-24 (Age),Living Condition Survey,Household income/expenditure survey,,,1409,,,,1556,,,,,1396,
Afghanistan,Male (Sex),15-64 (Age),Living Condition Survey,Household income/expenditure survey,,,4733,,,,5216,,,,,4881,
Afghanistan,Male (Sex),15+ (Age),Living Condition Survey,Household income/expenditure survey,,,4935,,,,5358,,,,,5018,
Afghanistan,Male (Sex),25+ (Age),Living Condition Survey,Household income/expenditure survey,,,3526,,,,3803,,,,,3622,
Afghanistan,Female (Sex),15-24 (Age),Living Condition Survey,Household income/expenditure survey,,,669,,,,366,,,,,442,
Afghanistan,Female (Sex),15-64 (Age),Living Condition Survey,Household income/expenditure survey,,,2510,,,,1052,,,,,1369,
Afghanistan,Female (Sex),15+ (Age),Living Condition Survey,Household income/expenditure survey,,,2551,,,,1061,,,,,1378,
Afghanistan,Female (Sex),25+ (Age),Living Condition Survey,Household income/expenditure survey,,,1882,,,,695,,,,,937,
Albania,Total (Sex),15-24 (Age),Labour Force Survey,Labour force survey,,136,124,156,141,179,125,99,88,92,,96,
Albania,Total (Sex),15-64 (Age),Labour Force Survey,Labour force survey,,969,1103,1148,1153,1126,1091,990,1006,1056,1120,1150,
Albania,Total (Sex),15+ (Age),Labour Force Survey,Labour force survey,,978,1123,1161,1167,1159,1134,1024,1037,1087,1157,1195,
Albania,Total (Sex),25+ (Age),Labour Force Survey,Labour force survey,,842,999,1004,1026,981,1008,925,950,995,,1099,
Albania,Male (Sex),15-24 (Age),Labour Force Survey,Labour force survey,,83,70,86,86,105,79,61,54,61,,60,
Albania,Male (Sex),15-64 (Age),Labour Force Survey,Labour force survey,,599,609,654,659,627,606,540,565,600,,650,
Albania,Male (Sex),15+ (Age),Labour Force Survey,Labour force survey,,606,623,663,670,648,633,563,586,621,,679,
Albania,Male (Sex),25+ (Age),Labour Force Survey,Labour force survey,,523,553,577,584,543,554,502,532,560,,619,
Albania,Female (Sex),15-24 (Age),Labour Force Survey,Labour force survey,,53,55,70,55,74,46,39,34,31,,35,
Albania,Female (Sex),15-64 (Age),Labour Force Survey,Labour force survey,,370,495,494,494,499,485,450,441,456,,500,
Albania,Female (Sex),15+ (Age),Labour Force Survey,Labour force survey,,372,500,497,497,511,500,461,451,466,,516,
Albania,Female (Sex),25+ (Age),Labour Force Survey,Labour force survey,,320,446,427,442,438,454,422,417,435,,481,
Albania,Total (Sex),15+ (Age),Official Estimates,Official estimate,933,935,962,905,904,925,955,926,925,,,,
Algeria,Total (Sex),15-24 (Age),Household Employment Survey,Labour force survey,1671,1580,1690,1731,1693,1511,1413,1522,1418,1218,1245,1339,
Algeria,Total (Sex),15-64 (Age),Household Employment Survey,Labour force survey,,,9146,9376,9622,,,,10158,,,10719,
Algeria,Total (Sex),15+ (Age),Household Employment Survey,Labour force survey,8869,8594,9146,9472,9735,9599,10170,10789,10240,10594,10870,10858,
Algeria,Total (Sex),25+ (Age),Household Employment Survey,Labour force survey,7198,7014,7456,7742,8041,8088,8757,9267,8822,9376,9625,9519,
Algeria,Male (Sex),15-24 (Age),Household Employment Survey,Labour force survey,,,,1520,1485,,1196,1307,1239,1053,1098,1169,
Algeria,Male (Sex),15-64 (Age),Household Employment Survey,Labour force survey,,,,7938,8161,,,,8440,,,8769,
Algeria,Male (Sex),15+ (Age),Household Employment Survey,Labour force survey,,,,8025,8261,,8393,8885,8517,8660,8883,8893,
Algeria,Male (Sex),25+ (Age),Household Employment Survey,Labour force survey,,,,6506,6776,,7197,7578,7278,7607,7785,7724,
Algeria,Female (Sex),15-24 (Age),Household Employment Survey,Labour force survey,,,,211,208,,217,215,179,163,147,171,
Algeria,Female (Sex),15-64 (Age),Household Employment Survey,Labour force survey,,,,1438,1460,,,,1718,,,1950,
Algeria,Female (Sex),15+ (Age),Household Employment Survey,Labour force survey,,,,1447,1474,,1777,1904,1723,1934,1987,1965,
Algeria,Female (Sex),25+ (Age),Household Employment Survey,Labour force survey,,,,1236,1266,,1560,1689,1544,1771,1840,1795,
American Samoa,Total (Sex),15+ (Age),Census for American Samoa,Population census,,,,,17,,,,,,,,
American Samoa,Total (Sex),15+ (Age),Official Estimates,Official estimate,17,17,17,14,19,18,15,,,,,,
Angola,Total (Sex),15-24 (Age),Angola Employment Survey,Labour force survey,,,,,1560,1725,,,,,,,
Angola,Total (Sex),15-64 (Age),Angola Employment Survey,Labour force survey,,,,,6076,6460,,,,,,,
Angola,Total (Sex),15+ (Age),Angola Employment Survey,Labour force survey,,,,,6342,6769,,,,,,,
Angola,Total (Sex),25+ (Age),Angola Employment Survey,Labour force survey,,,,,4782,5044,,,,,,,
Angola,Male (Sex),15-24 (Age),Angola Employment Survey,Labour force survey,,,,,721,840,,,,,,,
Angola,Male (Sex),15-64 (Age),Angola Employment Survey,Labour force survey,,,,,2997,3181,,,,,,,
Angola,Male (Sex),15+ (Age),Angola Employment Survey,Labour force survey,,,,,3139,3352,,,,,,,
Angola,Male (Sex),25+ (Age),Angola Employment Survey,Labour force survey,,,,,2418,2512,,,,,,,
Angola,Female (Sex),15-24 (Age),Angola Employment Survey,Labour force survey,,,,,838,885,,,,,,,
Angola,Female (Sex),15-64 (Age),Angola Employment Survey,Labour force survey,,,,,3079,3279,,,,,,,
Angola,Female (Sex),15+ (Age),Angola Employment Survey,Labour force survey,,,,,3203,3417,,,,,,,
Angola,Female (Sex),25+ (Age),Angola Employment Survey,Labour force survey,,,,,2364,2532,,,,,,,
Angola,Total (Sex),15-24 (Age),Core Welfare Indicators Questionnaire,Household income/expenditure survey,,,,,,1710,,,,,,,
Angola,Total (Sex),15-64 (Age),Core Welfare Indicators Questionnaire,Household income/expenditure survey,,,,,,6463,,,,,,,
Angola,Total (Sex),15+ (Age),Core Welfare Indicators Questionnaire,Household income/expenditure survey,,,,,,6790,,,,,,,
Angola,Total (Sex),25+ (Age),Core Welfare Indicators Questionnaire,Household income/expenditure survey,,,,,,5081,,,,,,,
Angola,Male (Sex),15-24 (Age),Core Welfare Indicators Questionnaire,Household income/expenditure survey,,,,,,826,,,,,,,
Angola,Male (Sex),15-64 (Age),Core Welfare Indicators Questionnaire,Household income/expenditure survey,,,,,,3178,,,,,,,
Angola,Male (Sex),15+ (Age),Core Welfare Indicators Questionnaire,Household income/expenditure survey,,,,,,3363,,,,,,,
